номер_позиції,аксіальна_x,аксіальна_альфа,x_см,y_см,тип,fuel_cell_id,енергія_поділів_еВ_на_джерельну_частинку,похибка_енергії_поділів_еВ,поділи_на_джерельну_частинку,похибка_поділів,потік_на_джерельну_частинку,похибка_потоку,поглинання_на_джерельну_частинку,похибка_поглинання,нейтрони_поділу_на_джерельну_частинку,похибка_нейтронів_поділу,частка_потужності,відносна_потужність,похибка_відносної_потужності_наближено
40,-2,7,-2.208364779650318,7.6499999999999995,звичайний твел UO₂,196,314995.0799245225,4498.1521298277,0.0016266574190608794,2.3252818272207493e-05,0.04104842318640954,0.0002582465262162377,0.002755899359037821,3.244721669111311e-05,0.0039852192687701024,5.6537126302569956e-05,0.0031995011101530043,0.9982443463677374,0.014277409925080337
42,2,5,2.208364779650318,7.6499999999999995,звичайний твел UO₂,204,328224.0363875903,4393.471794551569,0.001695076003186061,2.2715129622351256e-05,0.04122682457352503,0.00024317818118256625,0.002892222480610214,4.268256672024669e-05,0.0041512577284261104,5.5250932756924726e-05,0.0033338716561942096,1.0401679567325934,0.013948168508820814
43,4,4,4.416729559300636,7.6499999999999995,звичайний твел UO₂,209,332467.9310243939,4266.578038310872,0.0017169734884357082,2.2056919309259207e-05,0.04154095578251375,0.0002761294871241126,0.0028910387703512744,3.7803505674464863e-05,0.004204843590201466,5.366488340564246e-05,0.0033769781885409343,1.0536171948247715,0.013547438470855745
44,6,3,6.625094338950954,7.6499999999999995,звичайний твел UO₂,214,322505.68025073025,4734.141967033125,0.001665459464736919,2.4472449116669018e-05,0.041330014381113375,0.00023353751791542222,0.0028210164984292835,3.7950097903589425e-05,0.004080006356388667,5.952184061928054e-05,0.0032757885686344997,1.0220460334139638,0.015025191740388872
45,8,2,8.833459118601272,7.6499999999999995,звичайний твел UO₂,219,333809.9020859936,4042.981875574862,0.0017239498038517228,2.090689265693672e-05,0.04138872331562535,0.0002611933570492283,0.0029348826778581934,3.531386076930524e-05,0.004221278242287621,5.078219978621874e-05,0.003390608997956784,1.0578700073625167,0.012840521168355429
46,-9,10,-9.937641508426431,7.012499999999999,звичайний твел UO₂,224,343188.51674026984,5552.435969243495,0.0017724564194904306,2.8706471857878538e-05,0.04099734205162705,0.0002642673432992681,0.0030164523589964656,4.3662615125181636e-05,0.004338312376593855,6.97702374580716e-05,0.0034858704477713147,1.0875915797046503,0.017617662783722256
47,-7,9,-7.729276728776114,7.012499999999999,звичайний твел UO₂,229,320775.27458304877,4018.1162728864383,0.001656555575778845,2.0776399015687982e-05,0.04114829127301407,0.00021518107084425218,0.0028025892699150524,3.340775885466314e-05,0.00405799319282166,5.03851123999988e-05,0.0032582123104399636,1.0165622408572685,0.012759738559930758
48,-5,8,-5.520911949125795,7.012499999999999,звичайний твел UO₂,234,337301.1368229782,4747.534767307449,0.0017419883457708446,2.4546294857808923e-05,0.04149549471034808,0.00022872701242283475,0.0029532764725615107,3.822773662696647e-05,0.0042659632272108545,5.964456945300579e-05,0.0034260705341162168,1.0689340066442596,0.01506965912589454
49,-3,7,-3.312547169475477,7.012499999999999,звичайний твел UO₂,239,326709.87555113726,4079.501153197996,0.001687219254638344,2.1091769774895575e-05,0.041670043343565014,0.00025300805275241294,0.0028793279907083857,3.4017300842438915e-05,0.004132255557342188,5.127594105958409e-05,0.0033184918627119035,1.035369461166114,0.012954837255317072
50,-1,6,-1.104182389825159,7.012499999999999,звичайний твел UO₂,244,299108.0743210486,4070.872427312568,0.001544556660056832,2.1050177715208208e-05,0.040478750012631876,0.0002646704240379918,0.0027252487408908743,3.6022563707170056e-05,0.003785103452589093,5.115763357220208e-05,0.0030381319482045022,0.9478971678398047,0.012923242306671174
